,f_id,item,veg_or_non_veg
233827,fd624948,Veg Paneer Veg,Veg
233828,fd624949,Veg Paneer Noodles Rice,Veg
233829,fd624951,Veg Chawmin Rice,Veg
233830,fd624953,Veg Paneer Chilly,Veg
233831,fd624955,Veg. panner garlic,Veg
233832,fd624957,Veg. manchurian pulav,Veg
233833,fd624958,Boiled Egg (1 Pcs),Non-veg
233834,fd624959,Boil Fry (1 Pcs),Non-veg
233835,fd624960,Masala Boil Egg (4 Pcs),Non-veg
233836,fd624961,Cheese Masala Boil Egg,Non-veg
233837,fd624962,Masala Boil Fry(4 Pcs),Non-veg
233838,fd624963,Cheese Masala Boil Fry(4 Pcs),Non-veg
233839,fd624964,Boil Vaghariyu (4 Pcs),Non-veg
233840,fd624965,Cheese Boil Vaghariyu (4 Pcs),Non-veg
233841,fd624966,Masala Boil Vaghariyu (4 Pcs),Non-veg
233842,fd624967,Cheese Masala Boil Vaghariyu (4 Pcs),Non-veg
233843,fd624968,Egg Skylap,Non-veg
233844,fd624969,Cheese Skylap,Non-veg
233845,fd624971,Masala Jeera Rice (Oil),Veg
233846,fd624972,Egg Rice (Oil),Non-veg
233847,fd624973,Boiled Egg Rice (Oil),Non-veg
233848,fd624975,Masala Jeera Rice (Butter),Veg
233849,fd624976,Egg Rice (Butter),Non-veg
233850,fd624977,Boiled Egg Rice (Butter),Non-veg
233851,fd624978,Omelette (Oil),Non-veg
233852,fd624979,Cheese Omelette (Oil),Non-veg
233853,fd624980,Mari Fry (Oil),Non-veg
233854,fd624982,Bombay Omelette (Oil),Non-veg
233855,fd624983,Cheese Paper Omelette (Oil),Non-veg
233856,fd624984,Bhurji (Oil),Non-veg
233857,fd624985,Cheese Bhurji (Oil),Non-veg
233858,fd624986,Ek Par Ek Free (Oil),Non-veg
233859,fd624988,Cheese Omelette (Butter),Non-veg
233860,fd624989,Mari Fry (Butter),Non-veg
233861,fd624991,Bombay Omelette (Butter),Non-veg
233862,fd624992,Cheese Paper Omelette (Butter),Non-veg
233863,fd624993,Bhurji (Butter),Non-veg
233864,fd624994,Cheese Bhurji (Butter),Non-veg
233865,fd624995,Ek Par Ek Free (Butter),Non-veg
233866,fd624996,Katki (Oil),Non-veg
233867,fd624997,Boil Khimo(Oil),Non-veg
233868,fd624998,Green Khimo(Oil),Non-veg
233869,fd624999,Lapeti(Oil),Non-veg
233870,fd625000,Katki Omelette(Oil),Non-veg
233871,fd625001,Bile Tikka (Oil),Non-veg
233872,fd625002,Egg Curry (Oil),Non-veg
233873,fd625003,Katki (Butter),Non-veg
233874,fd625004,Boil Khimo(Butter),Non-veg
233875,fd625005,Green Khimo(Butter),Non-veg
233876,fd625006,Lapeti(Butter),Non-veg
233877,fd625007,Katki Omelette(Butter),Non-veg
233878,fd625008,Bile Tikka (Butter),Non-veg
233879,fd625010,Gotaro (Oil),Non-veg
233880,fd625011,Green Gotado (Oil),Non-veg
233881,fd625012,Goti Fry (Oil),Non-veg
233882,fd625013,Pinal Goti (Oil),Non-veg
233883,fd625014,Goti Gotado (Oil),Non-veg
233884,fd625015,Cheese Goti (Oil),Non-veg
233885,fd625016,Gotaro (Butter),Non-veg
233886,fd625017,Green Gotado (Butter),Non-veg
233887,fd625018,Goti Fry (Butter),Non-veg
233888,fd625019,Pinal Goti (Butter),Non-veg
233889,fd625020,Goti Gotado (Butter),Non-veg
233890,fd625021,Cheese Goti (Butter),Non-veg
233891,fd625022,Half Fry (Oil),Non-veg
233892,fd625024,Tomato Fry (Oil),Non-veg
233893,fd625025,Lasan Fry (Garlic) (Oil),Non-veg
233894,fd625026,Half Fry (Butter),Non-veg
233895,fd625028,Tomato Fry (Butter),Non-veg
233896,fd625029,Lasan Fry (Garlic) (Butter),Non-veg
233897,fd625030,Kachu Paku (Oil),Non-veg
233898,fd625032,Royal Egg (Oil),Non-veg
233899,fd625033,Kachu Paku (Butter),Non-veg
233900,fd625035,Locha Fry (Butter),Non-veg
233901,fd625036,Royal Egg (Butter),Non-veg
233902,fd625037,Egg Roll (Butter),Non-veg
233903,fd625038,Ragda (Butter),Non-veg
233904,fd625039,Rahuli (Butter),Non-veg
233905,fd625040,Ravaiya (Butter),Non-veg
233906,fd625041,Austrailian Half Fry (Butter),Non-veg
233907,fd625042,American Special (Butter),Non-veg
233908,fd625043,Basket (Butter),Non-veg
233909,fd625044,Dhosa (Butter),Non-veg
233910,fd625045,Rabdi (Butter),Non-veg
233911,fd625046,Paplet (Butter),Non-veg
233912,fd625047,Rajwadi Special (Butter),Non-veg
233913,fd625048,Russian (Butter),Non-veg
233914,fd625049,Raja Rani (Butter),Non-veg
233915,fd625050,Lajwab (Butter),Non-veg
233916,fd625051,Pizza (Egg) (Butter),Non-veg
233917,fd625052,Egg House Special (Butter),Non-veg
233918,fd625053,Egg Khalsa (Butter),Non-veg
233919,fd625054,Nandur Bar Special (Butter),Non-veg
233920,fd625055,Bullet Raja (Butter),Non-veg
233921,fd625056,Cheese Egg Kofta (Butter),Non-veg
233922,fd625057,Egg Roll (Cheese),Non-veg
233923,fd625058,Ragda (Cheese),Non-veg
233924,fd625059,Rahuli (Cheese),Non-veg
233925,fd625060,Ravaiya (Cheese),Non-veg
233926,fd625061,Austrailian Half Fry (Cheese),Non-veg
233927,fd625062,American Special (Cheese),Non-veg
233928,fd625063,Basket (Cheese),Non-veg
233929,fd625064,Dhosa (Cheese),Non-veg
233930,fd625065,Rabdi (Cheese),Non-veg
233931,fd625066,Paplet (Cheese),Non-veg
233932,fd625067,Rajwadi Special (Cheese),Non-veg
233933,fd625068,Russian (Cheese),Non-veg
233934,fd625069,Raja Rani (Cheese),Non-veg
233935,fd625070,Lajwab (Cheese),Non-veg
233936,fd625071,Pizza (Egg) (Cheese),Non-veg
233937,fd625072,Egg House Special (Cheese),Non-veg
233938,fd625073,Egg Khalsa (Cheese),Non-veg
233939,fd625074,Nandur Bar Special (Cheese),Non-veg
233940,fd625075,Bullet Raja (Cheese),Non-veg
233941,fd625076,Cheese Egg Kofta (Cheese),Non-veg
233942,fd625083,Lasaniya Chutney (Oil),Veg
233943,fd625084,Lasaniya Chutney (Butter),Veg
233944,fd625092,Sprite (200ml),Veg
233945,fd625093,Fanta (200ml),Veg
233946,fd625122,Baby Corn With Palak,Veg
233947,fd625148,Paneer Tawa (Spicy),Veg
233948,fd625154,Dinner Fixed Punjabi Thali,Veg
233949,fd625155,Dinner Special Executive Thali,Veg
233950,fd625164,Super Vanilla,Veg
233951,fd625167,Brazilian Choco Coke,Veg
233952,fd625172,Paneer Pakoda (8 Nos),Veg
233953,fd625173,Cheese Pakoda (8 Nos),Veg
233954,fd625187,6' Veg Chilli Pizza,Veg
233955,fd625190,Kaju Mango Milk Shake,Veg
233956,fd625194,Special City Point Falooda,Veg
233957,fd625200,Cocacola (200ml),Veg
233958,fd625201,Thumsup (200ml),Veg
233959,fd625202,Tyro Tropical Punch,Veg
233960,fd625207,Guava Cooler,Veg
233961,fd625218,Special Chocolate Lassi,Veg
233962,fd625219,Special Strawberry Lassi,Veg
233963,fd625221,Special Pineapple Lassi,Veg
233964,fd625227,Pasteurized Curd,Veg
233965,fd625232,Palak Garlic Soup,Veg
233966,fd625233,Sweet Corn Plain,Veg
233967,fd625236,Lemon Chilly Cilentro Soup,Veg
233968,fd625244,Palak Shurba,Veg
233969,fd625249,Bombay Dum Biryani,Veg
233970,fd625250,Vatika Biryani,Veg
233971,fd625251,City Point Dum Biryani,Veg
233972,fd625260,Khush Khush Naan,Veg
233973,fd625277,Uit Roti,Veg
233974,fd625282,Bajri Butter Rotla,Veg
233975,fd625283,Sizwan Paneer Tikka Dry,Veg
233976,fd625286,Alu Chilly Dry,Veg
233977,fd625297,Veg Crunchy Dry,Veg
233978,fd625298,Paneer Kurkure Dry,Veg
233979,fd625299,Paneer Shahi Tikka Dry,Veg
233980,fd625300,Barbecue Tikka Dry,Veg
233981,fd625301,Paneer Jawalamukhi Dry,Veg
233982,fd625302,Paneer Dot Com,Veg
233983,fd625304,Veg. Chilly Garlic Noodle,Veg
233984,fd625315,Tandoori Plater,Veg
233985,fd625321,Baby Corn With Mushroom,Veg
233986,fd625327,Cheese Dilruba,Veg
233987,fd625328,Cheese Kaju Badami,Veg
233988,fd625330,Kaju Tawa,Veg
233989,fd625334,Kaju Tufani,Veg
233990,fd625335,Kaju Matka,Veg
233991,fd625336,Kaju Himmatwala,Veg
233992,fd625337,Veg Layajat,Veg
233993,fd625339,Veg City Point,Veg
233994,fd625345,Veg Toofani (Spicy),Veg
233995,fd625347,Veg Jaipuri (Spicy),Veg
233996,fd625349,Kaju Badam Wala,Veg
233997,fd625354,Methi Malai Mattar  (Sweet),Veg
233998,fd625368,Aloo Kadai,Veg
233999,fd625376,Kaju Smoking Dhamakdar,Veg
234000,fd625379,Cheese Sabnam Russila,Veg
234001,fd625381,Cheese Begum Bahar,Veg
234002,fd625382,Cheee Kaju Masala,Veg
234003,fd625384,Cheese Garlic  Palak,Veg
234004,fd625385,Cheese Matka,Veg
234005,fd625387,Paneer Aashiyana,Veg
234006,fd625388,Paneer Italian,Veg
234007,fd625393,Paneer Shahi (Sweet ),Veg
234008,fd625407,Special Executive Thali,Veg
234009,fd625408,Gujarat Thali,Veg
234010,fd625409,Handi Chicken Masala,Non-veg
234011,fd625412,Chicken Butter Bonless,Non-veg
234012,fd625415,Loolipop Fry  (3ps),Non-veg
234013,fd625416,Chicken Dana Fry (4ps),Non-veg
234014,fd625417,Chicken Tandoori  (1ps),Non-veg
234015,fd625420,Chicken Bonless Rice,Non-veg
234016,fd625421,Eggs Bhurji (double),Non-veg
234017,fd625423,Fish Fry (1ps),Non-veg
234018,fd625424,Fish Bonless Fry,Non-veg
234019,fd625425,Fish Bonless Masala,Non-veg
234020,fd625426,Sp.  Matla Fish(1ps),Non-veg
234021,fd625431,Chicken Janeman,Non-veg
234022,fd625432,Chicken Janeman Bonless,Non-veg
234023,fd625433,Chicken Amrin Bonless,Non-veg
234024,fd625434,Chicken Amrin Rice,Non-veg
234025,fd625435,Chiken Afgani Bonless,Non-veg
234026,fd625436,Chiken Afgani Rice,Non-veg
234027,fd625437,Handi Tandoori,Non-veg
234028,fd625438,Handi Tikka Masala,Non-veg
234029,fd625440,Handi Bonless,Non-veg
234030,fd625441,Handi loolipop,Non-veg
234031,fd625442,Kadai Tandoori,Non-veg
234032,fd625443,Kadai Tikka,Non-veg
234033,fd625445,Kadai Bonless,Non-veg
234034,fd625446,Kadai Loolipop,Non-veg
234035,fd625448,Mughlai Bonless,Non-veg
234036,fd625452,Bombay Bonless,Non-veg
234037,fd625453,Chicken Bonless,Non-veg
234038,fd625454,Jeera Chicken Bonless,Non-veg
234039,fd625456,Chicken Lasaniya Bonless,Non-veg
234040,fd625458,Jeera Chicken Masala,Non-veg
234041,fd625460,Chicken Lasaniya Masala,Non-veg
234042,fd625463,Chicken Golden Masala,Non-veg
234043,fd625464,Chicken Golden bonless,Non-veg
234044,fd625466,Loolipop Gravy,Non-veg
234045,fd625468,Chicken Dana Gravy,Non-veg
234046,fd625470,Tandoori Half  (2ps),Non-veg
234047,fd625471,Tandoori Full  (4ps),Non-veg
234048,fd625472,Matla Chicken Half,Non-veg
234049,fd625473,Matla Chicken Full,Non-veg
234050,fd625474,Desi Style Chicken Half,Non-veg
234051,fd625475,Desi Style Chicken Full,Non-veg
234052,fd625476,J.F.C  Fry  Half (2ps),Non-veg
234053,fd625477,J.F.C  Fry  full (4ps),Non-veg
234054,fd625479,Angara Bonless,Non-veg
234055,fd625482,Chika Yadgar Fry,Non-veg
234056,fd625484,Chicken Tawa Briyani,Non-veg
234057,fd625487,Mutoon Desi Style Half,Non-veg
234058,fd625490,Chicken Kaleji Rice,Non-veg
234059,fd625491,Eggs Kheema (double),Non-veg
234060,fd625492,Boiled Egg Kheema (double),Non-veg
234061,fd625494,Boiled Eggs Bhurji (double),Non-veg
234062,fd625495,Boiled Eggs Curry (double),Non-veg
234063,fd625497,Boiled  Egg Rice,Non-veg
234064,fd625500,Boiled Fry  (1 boiled),Non-veg
234065,fd625501,Boiled Plain( 1 boiled),Non-veg
234066,fd625503,Fish Masala (1ps),Non-veg
234067,fd625512,Fry  Papad,Veg
234068,fd625559,Parcel Bag,Veg
234069,fd625574,Orange + Pineapple Juice,Veg
234070,fd625611,Mararita Pizza,Veg
234071,fd625634,Citrus Blue,Veg
234072,fd625638,Cold Coffee Hazulnaut,Veg
234073,fd625644,Veggie D Lite,Veg
234074,fd625655,Saute Mushroom Grilled Sandwich,Veg
234075,fd625662,Paneer Chilli Bread,Veg
234076,fd625663,Schezwan Bread,Veg
234077,fd625667,Special Finestra Toast,Veg
234078,fd625675,Chipotle Baked Penne Pasta,Veg
234079,fd625680,Sun Dried Pizza,Veg
234080,fd625681,Arrabiata Pizza,Veg
234081,fd625691,Veggie Burritos,Veg
234082,fd625692,Beans & Cheese Burritos,Veg
234083,fd625693,Spicy Tangy Paneer Burritos,Veg
234084,fd625696,Cheese Chatpata Rice,Veg
234085,fd625716,Caramel Mocchiato,Veg
234086,fd625725,Grasshopper,Veg
234087,fd625726,Cuban Libre,Veg
234088,fd625727,Mai Tai,Veg
234089,fd625728,Regular Iced Coffee,Veg
234090,fd625733,Spring Roll Frankie,Veg
234091,fd625738,Desi Tawa Pulao,Veg
234092,fd625745,Double Tikki Paradise,Veg
234093,fd625747,Supreme Masala Burger,Veg
234094,fd625759,Foodholic Special Maggi,Veg
234095,fd625763,Mexican Chat,Veg
234096,fd625765,Small 1000 Island,Veg
234097,fd625766,Medium 1000 Island,Veg
234098,fd625769,Small Paneer Paradise,Veg
234099,fd625770,Medium Paneer Paradise,Veg
234100,fd625771,Small Chilli Garlic Pizza,Veg
234101,fd625772,Medium Chilli Garlic Pizza,Veg
234102,fd625773,Small Pizza Pasta,Veg
234103,fd625774,Medium Pizza Pasta,Veg
234104,fd625777,Small OTC Peri Peri,Veg
234105,fd625778,Medium OTC Peri Peri,Veg
234106,fd625779,Small Miami Heat,Veg
234107,fd625780,Medium Miami Heat,Veg
234108,fd625781,Small Farmhouse Garden,Veg
234109,fd625782,Medium Farmhouse Garden,Veg
234110,fd625783,Small Bhatti Paneer,Veg
234111,fd625784,Medium Bhatti Paneer,Veg
234112,fd625785,Small Corn Festival,Veg
234113,fd625786,Medium Corn Festival,Veg
234114,fd625787,Small Peri Peri French fries,Veg
234115,fd625788,Medium Peri Peri French fries,Veg
234116,fd625789,Hot N' Sour,Veg
234117,fd625808,Fried Rice & Manchurian Gravy,Veg
234118,fd625809,Schezwan Fried Rice & Gravy,Veg
234119,fd625817,Peri  Peri Fries,Veg
234120,fd625822,Cheese Corn Tomatoes,Veg
234121,fd625823,Grilled Panini,Veg
234122,fd625824,Cheesy Panini,Veg
234123,fd625833,Chole & Rice,Veg
234124,fd625834,Rajma & Rice,Veg
234125,fd625836,Chole Paneer & Rice,Veg
234126,fd625837,Rajma Paneer & Rice,Veg
234127,fd625838,Paneer Bhurji Rice,Veg
234128,fd625841,Palak Paneer & Paratha,Veg
234129,fd625842,Paneer Bhurji & Paratha,Veg
234130,fd625843,Chole & Bhature,Veg
234131,fd625844,Dal Makhani & Paratha,Veg
234132,fd625845,Chole Paneer & Bhature,Veg
234133,fd625846,Dal Makhani & Cheese Paratha,Veg
234134,fd625847,Paneer Lebabdar & Paratha,Veg
234135,fd625848,Indian Platter,Veg
234136,fd625849,Lebabdar Platter,Veg
234137,fd625853,Fresh & Fruity,Veg
234138,fd625855,Red Bull Dine,Veg
234139,fd625857,Currant Berry,Veg
234140,fd625862,Ruby Masala Cola,Veg
234141,fd625863,Redbull Green Apple,Veg
234142,fd625864,Ruby Blue,Veg
234143,fd625865,Redbull Pan Mojito,Veg
234144,fd625867,Flavoured Floats,Veg
234145,fd625879,Choco Freak,Veg
234146,fd625880,Chocolate Paradise,Veg
234147,fd625881,Peanut Butter & Cookies,Veg
234148,fd625886,Hot Chocolate Float,Veg
234149,fd625890,Red & White Sauce,Veg
234150,fd625893,Oreo Frittas,Veg
234151,fd625894,Chocolate Chips Dumpling,Veg
234152,fd625895,Jeea Soda,Veg
234153,fd625911,Garlic Bread With Cheese ( Pcs)4,Veg
234154,fd625916,Aloo cheese Da Paratha,Veg
234155,fd625922,Pav Bhaji + Veg Pulao,Veg
234156,fd625923,7inch Tandoori Paneer Pizza,Veg
234157,fd625926,Iced Hazelnut Cappucino Coffee,Veg
234158,fd625929,Dark Tiramisu Mochachinno Coffee,Veg
234159,fd625935,Arrabitta Pasta,Veg
234160,fd625936,Mixed sauce Pasta,Veg
234161,fd625939,Spinach Corn Pasta,Veg
234162,fd625949,Grilled Zucchini Hummus Wrap,Veg
234163,fd625950,Grilled Paneer Caesar Salad Wrap,Veg
234164,fd625955,Cheese Vegetable Pulao,Veg
234165,fd625956,Paneer Vegetable Pulao,Veg
234166,fd625958,Lemon Rice (South Indian Style),Veg
234167,fd625959,Curd Rice ( South Indian Style ),Veg
234168,fd625960,Burnt Garlic and Broccoli Rice,Veg
234169,fd625965,7' Desi Tikha Pizza,Veg
234170,fd625967,7' Country Special Pizza,Veg
234171,fd625970,7' Three Cheese,Veg
234172,fd625972,9' Desi Tikha Pizza,Veg
234173,fd625974,9' Country Special Pizza,Veg
234174,fd625976,9' Three Cheese,Veg
234175,fd625979,12' Desi Tikha Pizza,Veg
234176,fd625981,12' Country Special Pizza,Veg
234177,fd625984,12' Three Cheese,Veg
234178,fd625985,Grilled Cheese Chilli,Veg
234179,fd625990,Banana Peanut Butter Nutella Sandwich,Veg
234180,fd625992,Club Sandwhich (Three Layer),Veg
234181,fd625993,American Coleslaw Sandwich,Veg
234182,fd625994,Jain's Special Sandwich,Veg
234183,fd625998,Spinach Corn Grilled Sandwich with cheese,Veg
234184,fd625999,Banana Peanut Butter Nutella Grilled Sandwich,Veg
234185,fd626001,Club Grilled Sandwhich (Three Layer),Veg
234186,fd626002,American Coleslaw Grilled Sandwich,Veg
234187,fd626003,Creamy Paneer Grilled Sandwich,Veg
234188,fd626004,Creamy Cheese Chutni Grilled Sandwich,Veg
234189,fd626005,Mexican Club Sandwich - grill,Veg
234190,fd626006,Mushroom Veggie Burger,Veg
234191,fd626007,Ghost Pepper Burger,Veg
234192,fd626008,Desi Tikka Burger,Veg
234193,fd626010,Salad Burger,Veg
234194,fd626013,Jain Special Burger,Veg
234195,fd626018,Three Cheese Garlic Bread (4 Pcs),Veg
234196,fd626020,"Cheese Garlic Bread With Corn, Onion & Green Chilli ( Pcs)4",Veg
234197,fd626021,Corn Cheese Bruschetta (4 Pcs),Veg
234198,fd626022,Veg Cheese Bruschetta (4 Pcs),Veg
234199,fd626023,Home Made Baked Beans With Garlic Bread ( Pcs)4,Veg
234200,fd626042,Chocolate Chips Cake [500 Grams],Veg
234201,fd626045,Mixed Berry Cake,Veg
234202,fd626050,Paneer Tikka Dry ( 8 Pcs),Veg
234203,fd626055,Fixed Delux Lunch,Veg
234204,fd626057,Mix Combo,Veg
234205,fd626061,Veg 65 (8 Pcs) + Paneer Bhurji + 3 Butter Roti + Gulab Jamun (4 Pcs),Veg
234206,fd626062,Cheese Butter Masala + Paneer Bhurji + 8 Butter Roti,Veg
234207,fd626064,Paneer Lasaniya Tikka Dry (8 Pcs),Veg
234208,fd626093,French Onion Soup Light,Veg
234209,fd626094,Palak Hot Garlic Soup Light,Veg
234210,fd626095,Sahyog Special Veg,Veg
234211,fd626104,Veg Kumb Masala,Veg
234212,fd626119,Veg Afghani Tawa,Veg
234213,fd626134,Special Sahyog Paneer,Veg
234214,fd626142,Cheese and Paneer Masala,Veg
234215,fd626164,Dal Garlic Palak,Veg
234216,fd626179,Veg Grill Toast Sandwich,Veg
234217,fd626183,Spicy Veg Jumbo,Veg
234218,fd626187,Balladonna Burger,Veg
234219,fd626192,6' Spicy Veg Pizza,Veg
234220,fd626194,9' Capsicum Sweet Corn Pizza,Veg
234221,fd626213,Swaminarayan Sandwich,Veg
234222,fd626216,Corn Pesta sandwich,Veg
234223,fd626220,Bombay Special French Fries,Veg
234224,fd626235,Chilli Garlic Grill Sandwich,Veg
234225,fd626236,Chilli Garlic Mayonnaise Grill Sandwich,Veg
234226,fd626238,Veg Peri Peri Grill Sandwich,Veg
234227,fd626241,Veg Chatpata Grill Sandwich,Veg
234228,fd626242,Bombay Special Grill Sandwich,Veg
234229,fd626244,Jumbo Grill,Veg
234230,fd626257,9' Capsicum Onion Pizza,Veg
234231,fd626258,6' Capsicum Sweet Corn Pizza,Veg
234232,fd626260,6' Punjabi Paneer Pizza,Veg
234233,fd626261,9' Punjabi Paneer Pizza,Veg
234234,fd626262,6' Bombay Special Pizza,Veg
234235,fd626263,9' Bombay Special Pizza,Veg
234236,fd626270,Bombay Special Garlic Bread,Veg
234237,fd626328,Mutton Rosh,Non-veg
234238,fd626331,Mutton Chaap Tawa Fry,Non-veg
234239,fd626343,Chicken Tawa Fry + Jeera Rice + 3 Plain Roti,Non-veg
234240,fd626344,Boneless Chicken Biryani + Masala Chhas,Non-veg
234241,fd626345,Butter Chicken + 5 Plain Roti,Non-veg
234242,fd626346,Chicken Lasaniya + 5 Plain Roti,Non-veg
234243,fd626347,Fish Masala + 5 Plain Roti + Plain Rice,Non-veg
234244,fd626348,Boneless Chicken + 3 Plain Roti + Jeera Rice,Non-veg
234245,fd626353,Boiled Fry Egg,Non-veg
234246,fd626354,Boiled Bhurji,Non-veg
234247,fd626362,Boil Fry Rice,Non-veg
234248,fd626375,Veg Lahsuniya,Veg
234249,fd626376,Veg Tawa Fry,Veg
234250,fd626396,Paneer Tawa Fry,Veg
234251,fd626414,Prawns Jhinga Chilli,Non-veg
234252,fd626415,Tandoori Fried Rice,Veg
234253,fd626422,Special Kashmiri Masur Pulao,Veg
234254,fd626444,Chicken Cream Tikka,Non-veg
234255,fd626461,Mutton Paya,Non-veg
234256,fd626465,Mutton Jeera,Non-veg
234257,fd626472,Prawns Tava Fry,Non-veg
234258,fd626473,Mutton Tariwala,Non-veg
234259,fd626474,Mutton Lehsunia,Non-veg
234260,fd626475,Mutton Tawa Fry,Non-veg
234261,fd626477,Mutton Keema Tawa Fry,Non-veg
234262,fd626478,Mutton Kaleji Tawa Fry,Non-veg
234263,fd626498,Special Chicken Kashmiri,Non-veg
234264,fd626500,Chicken Tiranga,Non-veg
234265,fd626505,Chicken Tariwala,Non-veg
234266,fd626506,Chicken Lehsunia,Non-veg
234267,fd626507,Chicken Tandoori Tawa Fry,Non-veg
234268,fd626510,Sweet Corn Bhaji Pav,Veg
234269,fd626511,Capsicum Bhaji Pav,Veg
234270,fd626514,Capsicum Pulao,Veg
234271,fd626517,Paneer Corn Capsicum Pulao,Veg
234272,fd626522,Oil Bhakhari,Veg
234273,fd626523,Cheese Butter Kataka Masala Pav,Veg
234274,fd626524,Butter Kataka Masala Pav,Veg
234275,fd626525,Oil Kataka Masala Pav,Veg
234276,fd626528,Paneer Corn Capsicum Bhaji Pav,Veg
234277,fd626534,Extra Pav  ( 1 pc ),Veg
234278,fd626536,Sweet Corn Pulao,Veg
234279,fd626542,Bhaji Mixed Pulao,Veg
234280,fd626543,Jain Bhaji Mixed Pulao,Veg
234281,fd626544,Swaminarayan Bhai Mixed Pulao,Veg
234282,fd626547,Dal Makhani With Desi Ghee De Paratha  (2  Pcs),Veg
234283,fd626550,Paneer Chole Kulcha,Veg
234284,fd626554,Extra kulche,Veg
234285,fd626561,2 Aachar Paratha,Veg
234286,fd626562,2 Mirch Paratha,Veg
234287,fd626563,2 Pyaz paratha,Veg
234288,fd626564,2 Butter Bhakhri,Veg
234289,fd626565,2 Masala Bhakhri,Veg
234290,fd626570,2 Chhole Bhature + 2 Chhole Kulcha,Veg
234291,fd626571,2 Paneer Chhole Bhature + 2 Cheese Chhole Bhature,Veg
234292,fd626572,2 Paneer Chhole Kulcha + 2 Cheese Chhole Kulcha,Veg
234293,fd626573,Dal Makhani With Deshi Ghee Ke Parathe (6 Pcs),Veg
234294,fd626585,Butter tadka Dal Makhni with 2 Parathe,Veg
234295,fd626586,Dal makhni with 2 Desi ghee de parathe,Veg
234296,fd626592,Paneer chole Bhature,Veg
234297,fd626599,2 Schezwan Bhakhri,Veg
234298,fd626602,Chhole with Paratha,Veg
234299,fd626604,Dal Tadka with 2 Desi Ghee De Parathe,Veg
234300,fd626607,Special Butter Tadka Maggi,Veg
234301,fd626608,Butter Tadka Maggi with Vegetable,Veg
234302,fd626615,Simply Crunchy Paper Dosa,Veg
234303,fd626618,Paneer Lear Paper Dosa,Veg
234304,fd626630,Aloo Palak Masala Dosa,Veg
234305,fd626632,Cheese Aloo Palak Masala Dosa,Veg
234306,fd626638,Chinese Spicy Dosa,Veg
234307,fd626649,Dosa Hub Special Mysore Dosa,Veg
234308,fd626654,Paneer Corn Mysore Dosa,Veg
234309,fd626655,Garlic Mysore Dosa,Veg
234310,fd626662,Rusi Dilkhush Dosa,Veg
234311,fd626663,Palak Paneer Pasanda Dosa,Veg
234312,fd626668,Cheese Paneer American Chopsuey Dosa,Veg
234313,fd626670,Special Raja Rani Dosa,Veg
234314,fd626673,Family Dilbahar Dosa,Veg
234315,fd626674,Special Dosa Hub,Veg
234316,fd626677,Hara Bhara Kabab [12 Pcs],Veg
234317,fd626679,Paneer Kolhapuri Thali,Veg
234318,fd626686,Mix Veg Amrutsari Kulcha,Veg
234319,fd626687,Cheese Amrutsari Kulcha,Veg
234320,fd626688,Paneer Amrutsari Kulcha,Veg
234321,fd626692,Paneer Chilli Dry [6 Pcs],Veg
234322,fd626694,BBQ Mini,Veg
234323,fd626695,BBQ Jumbo,Veg
234324,fd626696,Manchurian & Noodles,Veg
234325,fd626697,Manchurian & Fry Rice,Veg
234326,fd626698,Chinese Bhel Combo,Veg
234327,fd626699,Paneer Chilli & Manchurian,Veg
234328,fd626700,Paneer Tikka Dry [6 pieces],Veg
234329,fd626701,Noodles & Schezwan Rice Combo,Veg
234330,fd626706,Paneer Angara Thali,Veg
234331,fd626707,Paneer Tikka Thali,Veg
234332,fd626711,Kaju Masala Thali,Veg
234333,fd626713,Aloo Raswala Thali,Veg
234334,fd626714,Sev Tomato Thali,Veg
234335,fd626715,Butter Paneer with Chilli Cheese Biryani Thali,Veg
234336,fd626716,Hyderabadi Biryani with Paneer Tikka Thali,Veg
234337,fd626717,Veg Biryani With Cheese Butter Masala Thali,Veg
234338,fd626735,Masoor Pulao,Veg
234339,fd626737,Bambaiya Biriyani with Curd,Veg
234340,fd626738,Sabdum Biriyani with Curd,Veg
234341,fd626739,Avdhidum Biriyani with Curd,Veg
234342,fd626740,Hyderabadi Biriyani with Curd,Veg
234343,fd626745,Kichiya,Veg
234344,fd626749,Ipl Combo 7,Veg
234345,fd626750,Ipl Combo 8,Veg
234346,fd626751,Ipl Combo 9,Veg
234347,fd626752,Ipl Combo 10,Veg
234348,fd626753,Kaju Curry + 3 Plain Tandoori Roti + Plain Rice,Veg
234349,fd626754,Bombaya Biryani + Hyderabadi Biryani + Avohidum Biryani + 3 Roasted Papad,Veg
234350,fd626755,Paneer Butter Masala + Veg Toofani + Jeera Rice + 2 Butter Naan,Veg
234351,fd626756,Veg Grill Sandwich (2 Pcs) + Veg Mayo Grill Sandwich (2 Pcs),Veg
234352,fd626772,Takila Shot,Veg
234353,fd626791,Veg Nandi,Veg
234354,fd626809,Veg Chilli Mily,Veg
234355,fd626824,Paneer Palak Matar,Veg
234356,fd626828,Paneer Chilli Mily,Veg
234357,fd626830,Veg Thali Limited,Veg
234358,fd626831,Delux Thali Limited,Veg
234359,fd626835,Khichya,Veg
234360,fd626836,Fry Khichya,Veg
234361,fd626837,Masala Khichya,Veg
234362,fd626838,Khichya Bhel,Veg
234363,fd626839,Papad Suri,Veg
